Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T1718,2022-07-13,C147,Coffee Machine,681,348.43,Credit Card,Pending
T1727,2021-01-11,C2735,Tablet,574,105.53,Credit Card,Failed
T1829,2024-11-02,C4048,Smartphone,200,716.58,PayPal,Pending
T1843,2020-01-24,C1566,Coffee Machine,859,531.52,Cash,Completed
T1847,2022-01-22,C2345,Coffee Machine,10,941.94,Credit Card,Failed
T1863,2023-10-04,C3356,Headphones,432,62.08,Cash,Completed
T1882,2023-12-04,C1051,Smartphone,1,541.57,Cash,Failed
T1895,2020-07-09,C962,Headphones,169,334.11,Credit Card,Pending
T1901,2023-11-04,C3335,Coffee Machine,969,937.09,PayPal,Completed
T1924,2024-03-24,C3185,Tablet,4,475.52,Credit Card,Completed
T1969,2024-11-16,C4912,Smartphone,940,823.48,PayPal,Pending
T1981,2021-10-24,C4931,Smartphone,632,618.32,Credit Card,Pending
T1995,2023-12-28,C2969,Laptop,7,916.16,PayPal,Completed
T2017,2020-08-25,C3751,Coffee Machine,1,219.77,PayPal,Failed
T2019,2023-03-04,C2303,Tablet,971,510.9,PayPal,Completed
T2027,2022-01-19,C3470,Headphones,929,340.92,PayPal,Completed
T2028,2020-04-02,C4887,Coffee Machine,300,263.81,PayPal,Pending
T2038,2023-12-17,C964,Smartphone,354,649.5,Credit Card,Failed
T2047,2021-10-12,C4009,Coffee Machine,127,182.04,Cash,Completed
T2068,2024-05-11,C1509,Laptop,305,689.46,PayPal,Pending
T2083,2020-07-08,C3972,Tablet,3,505.16,Credit Card,Completed
T2126,2022-04-07,C464,Coffee Machine,9,933.66,Credit Card,Completed
T2129,2020-10-12,C1710,Smartphone,5,238.78,PayPal,Completed
T2159,2022-02-28,C2455,Smartphon,903,303.86,PayPal,Completed
T2168,2023-03-08,C3812,Coffee Machine,2,332.93,Cash,Completed
T2180,2022-02-25,C2957,Table,991,782.52,Cash,Pending
T2186,2020-10-28,C4819,Coffee Machine,6,269.69,Cash,Completed
T2227,2022-12-09,C678,Headphones,299,286.26,PayPal,Failed
T2231,2022-08-24,C2096,Coffee Machine,1,167.56,PayPal,Completed
T2253,2022-01-16,C235,Laptop,5,93.93,Credit Card,Failed
T2254,2023-06-27,C1286,Tablet,1,133.94,PayPal,Completed
T2291,2023-01-10,C243,Laptop,573,997.4,Credit Card,Pending
T2301,2022-12-17,C1003,Headphones,3,224.36,PayPal,Completed
T2302,2021-01-07,C4112,Headphones,10,304.43,PayPal,Failed
T2348,2022-02-23,C3791,Smartphone,913,279.65,Credit Card,Completed
T2383,2024-11-03,C3499,Laptop,568,635.63,Cash,Pending
T2397,2024-10-16,C4760,Smartphone,133,84.27,PayPal,Completed
T2401,2021-10-03,C3329,Tablet,872,170.87,Credit Card,Completed
T2402,2022-01-19,C2091,Smartphone,738,162.53,PayPal,Completed
T2404,2022-01-02,C3672,Smartphone,479,604.38,Cash,Failed
T2412,2021-11-16,C1218,Laptop,8,287.88,Credit Card,Failed
T2442,2020-08-07,C3941,Coffee Machine,6,993.15,Credit Card,Failed
T2511,2023-12-08,C1200,Smartphone,2,304.59,PayPal,Completed
T2550,2023-01-19,C1396,Lap,1,368.74,PayPal,Completed
T2559,2022-05-20,C006,Laptop,484,96.62,PayPal,Completed
T2584,2023-11-23,C2986,Tablet,705,610.65,PayPal,Pending
T2588,2021-12-22,C3703,Headphones,868,206.26,Credit Card,Completed
T2604,2020-05-28,C2748,Smartphone,288,936.64,Cash,Completed
T2655,2024-04-29,C3030,Headphones,542,718.39,Cash,Completed
T2676,2021-03-25,C2942,Headphones,1,230.48,Credit Card,Completed
T2684,2024-01-02,C3487,Coffee Machine,105,173.63,Credit Card,Completed
T2689,2022-02-19,C2435,Tablet,4,766.07,Credit Card,Completed
T2725,2021-12-13,C3609,Coffee Machine,685,458.27,PayPal,Completed
T2823,2024-11-02,C4695,Smartphone,7,546.1,Credit Card,Pending
T2829,2023-06-20,C1050,Ta,6,674.35,Cash,Pending
T2847,2022-04-15,C1922,Laptop,980,748.74,Cash,Completed
T2871,2021-03-28,C4197,Coffee Machine,5,175.25,Credit Card,Completed
T2873,2023-09-22,C1279,Laptop,986,718.28,PayPal,Failed
T2877,2021-05-07,C338,Headphones,7,348.0,Credit Card,Pending
T2896,2020-08-28,C4075,Laptop,544,417.69,PayPal,Completed
T2940,2022-04-22,C1802,Laptop,856,817.14,PayPal,Pending
T2946,2024-01-17,C1981,Coffee Machine,8,353.13,Credit Card,Pending
T2948,2020-08-12,C964,Laptop,1,57.12,PayPal,Completed
T2956,2022-01-21,C2282,Headphones,885,540.31,PayPal,Completed
T2972,2021-04-22,C764,Headphon,10,810.59,Cash,Failed
T2984,2022-07-01,C509,Co,6,790.07,PayPal,Pending
T2999,2022-10-23,C4467,Coffee Machine,342,983.94,Credit Card,Completed
T3001,2023-12-07,C246,Tablet,592,477.65,Credit Card,Completed
T3008,2023-10-09,C4335,Coffee Machine,9,551.77,PayPal,Failed
T3011,2024-05-17,C4751,Coffee Machine,10,373.71,PayPal,Completed
T3021,2022-05-08,C1905,Headphones,10,898.52,Credit Card,Failed
T3053,2020-04-12,C1618,Smartphone,698,234.56,Credit Card,Failed
T3055,2020-03-01,C3985,Smartp,869,585.8,PayPal,Failed
T3072,2020-08-24,C3086,Laptop,6,843.8,Cash,Failed
T3073,2023-07-26,C1507,Tablet,9,234.95,PayPal,Completed
T3078,2022-05-27,C3890,Laptop,10,331.27,PayPal,Pending
T3088,2024-07-03,C733,Coffee Machine,6,208.54,Credit Card,Completed
T3099,2020-04-26,C4643,Coffee Machine,9,284.8,Credit Card,Completed
T3116,2024-11-15,C1278,Laptop,360,637.16,PayPal,Failed
T3132,2024-09-09,C694,Headphones,9,800.6,PayPal,Completed
T3182,2022-09-10,C258,Headphones,966,230.61,PayPal,Completed
T3188,2024-03-01,C098,Smartphone,667,235.25,PayPal,Completed
T3237,2024-09-17,C1770,Laptop,956,352.82,Credit Card,Failed
T3252,2024-07-07,C336,Coffee Machine,4,192.5,PayPal,Completed
T3254,2024-09-04,C841,Smartphone,922,765.87,Credit Card,Completed
T3266,2021-09-24,C1485,Laptop,6,850.78,PayPal,Completed
T3282,2022-07-07,C4645,Sma,840,279.51,Credit Card,Completed
T3297,2024-12-03,C1871,Smartphone,692,437.87,PayPal,Completed
T3309,2021-12-13,C1549,Laptop,3,992.9,PayPal,Completed
T3317,2020-07-05,C4361,Tablet,4,623.48,PayPal,Completed
T3354,2020-12-23,C2095,Table,754,672.62,PayPal,Pending
T3373,2021-03-16,C1381,Tablet,887,800.61,Cash,Completed
T3385,2020-06-27,C183,Coffee Machine,504,377.73,PayPal,Completed
T3386,2024-09-20,C487,Laptop,188,506.04,PayPal,Failed
T3399,2023-12-03,C1228,Co,3,276.77,PayPal,Completed
T3406,2020-04-18,C224,Tablet,844,928.0,PayPal,Pending
T3416,2021-01-06,C1737,Laptop,7,110.33,PayPal,Completed
T3429,2023-05-06,C3801,Smartphone,492,385.25,Credit Card,Completed
T3448,2022-06-22,C3651,Laptop,736,538.44,PayPal,Completed
T3476,2022-09-24,C2540,Tablet,7,461.6,PayPal,Failed
T3565,2024-12-23,C3911,Headphones,610,553.72,PayPal,Completed
T3591,2020-01-30,C1176,Headphones,10,380.7,PayPal,Completed
T3625,2023-12-20,C1723,Laptop,965,341.28,Credit Card,Completed
T3637,2021-01-06,C1013,Tablet,616,411.41,Cash,Failed
T3684,2023-05-03,C3299,Laptop,7,217.94,Cash,Pending
T3697,2022-11-20,C1748,Headphones,532,651.15,Credit Card,Completed
T3759,2020-05-18,C909,Coffee Machine,718,904.0,PayPal,Failed
T3761,2020-07-20,C976,Coffee Machine,4,813.91,Cash,Pending
T3811,2020-01-22,C100,Coffee Machine,139,999.41,Credit Card,Pending
T3814,2021-05-06,C1771,Laptop,8,642.21,PayPal,Failed
T46829,2023-07-15,C4289,Smartphone,3,945.57,PayPal,Completed
T3829,2023-03-22,C1724,Smartphone,525,764.45,Credit Card,Failed
T3830,2020-11-28,C1847,Tablet,310,514.53,PayPal,Completed
T3834,2021-09-26,C2868,Headphones,6,369.46,Credit Card,Completed
T3848,2022-01-27,C4719,Headphones,9,623.92,Cash,Completed
T3850,2020-07-31,C585,Tablet,490,823.98,Credit Card,Completed
T3863,2024-10-19,C4469,Smartphone,2,618.96,Credit Card,Pending
T3891,2023-07-29,C4895,Tablet,8,717.91,Cash,Completed
T3947,2022-08-28,C130,Tablet,478,165.32,Credit Card,Failed
T3955,2021-10-27,C1878,Headphones,560,698.98,Cash,Pending
T3964,2022-02-03,C3807,Laptop,832,519.64,Credit Card,Completed
T4072,2024-01-03,C820,Coffee Machine,545,409.75,Cash,Failed
T4086,2020-06-13,C4851,Headphones,200,614.5,PayPal,Completed
T4098,2023-06-27,C3919,Laptop,6,492.03,Cash,Pending
T4142,2023-05-28,C2124,Tablet,9,993.29,Credit Card,Completed
T4167,2024-10-14,C2374,Hea,1,726.0,Credit Card,Completed
T4171,2024-04-13,C3949,Tablet,10,534.84,Credit Card,Completed
T4172,2024-11-29,C4316,Laptop,2,902.42,PayPal,Completed
T4185,2025-02-01,C144,La,3,446.94,Credit Card,Pending
T4187,2023-10-03,C1913,Coffee Machine,9,127.27,Credit Card,Pending
T4215,2024-11-23,C466,Laptop,662,782.11,Credit Card,Completed
T4222,2023-07-25,C551,Laptop,292,532.38,PayPal,Completed
T4231,2024-02-25,C3190,Coffee Machine,377,668.87,Credit Card,Failed
T4238,2021-06-26,C3912,Laptop,6,597.88,Cash,Completed
T4272,2024-05-12,C4035,Laptop,459,682.59,PayPal,Completed
T4286,2023-08-12,C1812,Laptop,3,532.62,PayPal,Failed
T4319,2024-08-22,C3865,Smartphone,9,376.08,PayPal,Completed
T4355,2021-04-15,C3324,T,469,991.49,PayPal,Completed
T4363,2022-03-05,C4604,Smartphone,663,406.41,PayPal,Completed
T4388,2023-09-21,C146,Tablet,264,859.34,Credit Card,Completed
T4395,2022-08-03,C1953,Lapto,647,979.39,Credit Card,Completed
T4415,2020-02-07,C4308,Tablet,10,59.26,Credit Card,Completed
T4429,2023-12-16,C3065,Laptop,437,545.56,PayPal,Completed
T4433,2022-07-11,C1388,Headphones,542,444.86,PayPal,Completed
T4457,2023-03-07,C2355,Laptop,603,990.82,PayPal,Pending
T4539,2020-07-17,C3223,Headphones,8,570.63,Cash,Completed
T4540,2021-01-28,C2192,Laptop,8,411.61,Cash,Completed
T4559,2023-09-09,C3378,Headphones,989,895.76,PayPal,Completed
T4576,2023-04-19,C2628,Tablet,10,962.38,Credit Card,Pending
T4594,2020-09-13,C1141,Tablet,395,830.48,PayPal,Completed
T4611,2020-08-02,C681,Laptop,558,544.14,Cash,Pending
T4668,2023-07-31,C3079,Laptop,307,705.27,PayPal,Pending
T4683,2023-05-06,C467,Tablet,6,602.06,Credit Card,Completed
T4696,2022-06-08,C2746,Coffee Machine,418,367.78,Credit Card,Completed
T4725,2023-07-22,C2131,Tablet,4,123.45,Cash,Completed
T4747,2023-07-01,C084,Coffee Machine,4,584.69,PayPal,Completed
T4749,2023-09-04,C1717,Smartphone,778,464.93,PayPal,Completed
T4780,2022-05-19,C3094,Coffee Machine,5,858.55,Credit Card,Pending
T4790,2024-12-03,C2711,Smartphone,283,679.8,PayPal,Completed
T4807,2022-08-01,C3356,Smartphone,653,207.33,PayPal,Completed
T4810,2024-11-25,C2474,Headphon,390,938.92,PayPal,Pending
T4815,2024-06-26,C1345,Coffee Machine,140,496.62,Cash,Completed
T4822,2022-05-31,C2166,Headphones,984,68.95,PayPal,Completed
T4833,2021-03-01,C4051,Headphones,863,202.17,PayPal,Completed
T4844,2023-08-13,C4027,Tablet,8,679.09,PayPal,Completed
T4866,2020-01-18,C879,Smartphone,1,318.55,Cash,Pending
T4881,2020-08-27,C4225,Laptop,643,926.66,Cash,Pending
T4884,2024-02-24,C832,Smartphone,1,873.9,PayPal,Failed
T4886,2024-02-22,C4666,Headphones,9,465.68,Cash,Completed
T4893,2024-01-13,C4059,Tablet,2,415.54,Credit Card,Failed
T4905,2023-07-21,C752,Coffee Machine,652,296.77,PayPal,Completed
T4910,2021-06-18,C4981,Laptop,1,965.71,Credit Card,Failed
T4937,2024-01-11,C970,Laptop,680,341.29,PayPal,Completed
T4959,2022-09-17,C1847,Smartphone,4,695.68,PayPal,Failed
T4969,2021-07-20,C3338,Headphones,126,73.24,Cash,Completed
T4986,2021-07-01,C1772,Tablet,117,462.08,Credit Card,Failed
T4998,2022-08-08,C2607,Coffee Machine,6,978.19,PayPal,Completed
T5008,2022-12-18,C1425,Headphones,3,356.21,PayPal,Pending
T5022,2021-10-17,C268,Smartphone,260,530.68,Credit Card,Failed
T5059,2023-11-11,C1673,Smartphone,576,241.48,Cash,Failed
T5073,2021-08-27,C2403,Laptop,6,647.88,Credit Card,Completed
T5084,2023-01-26,C3884,Tablet,691,488.04,Cash,Pending
T5102,2021-07-01,C506,Smartphone,8,530.45,Credit Card,Pending
T5110,2020-03-09,C434,Coffee Machine,3,455.23,PayPal,Pending
T5193,2021-05-16,C3832,Tablet,1,673.09,Credit Card,Failed
T5252,2023-06-02,C896,Headphones,1,886.73,Cash,Completed
T5254,2020-12-31,C3989,Tablet,2,774.23,PayPal,Completed
T5260,2020-06-02,C394,Headphones,5,651.21,PayPal,Completed
T5264,2022-12-11,C4528,Tablet,7,60.29,PayPal,Completed
T5266,2024-01-19,C4886,Headphones,6,151.43,PayPal,Failed
T5278,2024-09-09,C303,Tablet,4,652.01,Credit Card,Completed
T5301,2021-02-01,C3352,Coffee Machine,135,308.28,Credit Card,Completed
T5305,2023-02-20,C909,Tablet,10,507.81,Credit Card,Completed
T5350,2021-09-08,C398,La,785,282.44,Credit Card,Pending
T5401,2020-05-24,C3012,Headphones,825,168.6,PayPal,Completed
T5410,2022-01-11,C1218,Coffee Machine,6,991.28,Credit Card,Pending
T5441,2024-06-26,C141,Smartphone,421,577.8,Cash,Completed
T5454,2024-03-28,C959,Smartphone,5,747.84,PayPal,Completed
T5486,2021-08-24,C1948,Laptop,499,863.18,Credit Card,Failed
T5491,2023-05-23,C388,Laptop,7,436.63,PayPal,Failed
T5493,2023-10-05,C541,Headphones,3,98.79,PayPal,Completed
T5508,2024-08-29,C2631,Coffee Machine,252,438.0,Credit Card,Completed
T5521,2024-08-28,C3379,Smartphone,2,257.45,Credit Card,Completed
T5531,2021-06-03,C3848,Laptop,597,575.48,Credit Card,Completed
T5549,2021-05-11,C1856,Laptop,451,601.55,PayPal,Completed
T5559,2021-12-13,C3831,Smartphone,819,580.32,Cash,Pending
T5566,2023-10-22,C3726,Table,499,508.13,Cash,Failed
T5587,2023-07-06,C2686,Smartphone,613,389.65,PayPal,Completed
T5599,2023-03-25,C2403,Co,543,294.19,Credit Card,Pending
T5604,2022-02-20,C3911,Laptop,2,569.05,PayPal,Failed
T5627,2022-09-24,C4519,Smartphone,590,553.71,PayPal,Pending
T5628,2023-01-29,C1262,Laptop,644,757.58,PayPal,Pending
T5631,2024-01-05,C874,Tablet,207,786.53,Credit Card,Pending
T5645,2023-06-24,C1735,Smartphone,426,583.17,PayPal,Completed
T5653,2020-12-18,C4456,Smartphone,1,773.23,PayPal,Completed
T5684,2022-06-17,C3148,Smar,196,623.58,PayPal,Completed
T5717,2021-12-07,C2231,Lap,703,376.36,Credit Card,Completed
T5723,2020-06-24,C1310,Smartphone,341,458.51,PayPal,Completed
T5733,2022-01-12,C3554,Tablet,2,228.36,Credit Card,Completed
T5745,2020-12-03,C4666,Laptop,368,943.88,Cash,Completed
T5761,2020-09-10,C2443,Smartphone,454,903.23,Credit Card,Completed
T5808,2024-10-26,C1171,Laptop,752,532.47,Credit Card,Failed
T5817,2023-11-04,C1815,Coffee Machine,344,164.4,Cash,Completed
T5823,2024-12-22,C4754,Coffee,748,893.54,Credit Card,Completed
T5854,2024-12-22,C563,Headphones,4,384.66,Credit Card,Completed
T5923,2022-07-07,C4798,Coffee Machine,659,147.23,Credit Card,Completed
T5925,2023-04-08,C2963,Coffee Machine,579,656.64,Cash,Completed
T5942,2024-03-09,C3242,Laptop,1000,933.21,Credit Card,Completed
T5949,2022-08-05,C4711,Smartphone,832,323.81,Cash,Pending
T5957,2020-08-10,C1898,Tablet,970,513.91,PayPal,Completed
T5974,2024-09-07,C1807,Smartphone,351,529.22,Credit Card,Completed
T6005,2023-03-24,C181,Tablet,213,126.6,Credit Card,Completed
T6053,2020-09-06,C1137,Smartphone,386,56.98,Credit Card,Completed
T6092,2022-07-01,C691,Tablet,852,238.04,PayPal,Completed
T6111,2024-08-30,C918,Laptop,10,835.96,Cash,Pending
T6131,2024-04-12,C1971,Headphones,256,955.01,PayPal,Completed
T6140,2021-07-03,C4740,Tablet,675,526.89,PayPal,Completed
T6166,2021-03-16,C904,Smartphone,218,514.35,Credit Card,Completed
T6168,2021-08-31,C3583,Smartphone,499,858.35,Credit Card,Completed
T6176,2024-08-11,C1989,Headphones,10,346.47,Credit Card,Completed
T6207,2024-11-15,C4858,Lap,377,579.28,PayPal,Pending
T6216,2021-11-05,C1776,Laptop,804,998.3,Credit Card,Completed
T6235,2024-09-25,C4494,Tablet,749,288.16,Credit Card,Completed
T6241,2022-06-21,C3655,Laptop,896,860.29,Credit Card,Failed
T6247,2023-11-03,C2029,Tablet,3,499.07,PayPal,Completed
T6250,2020-10-06,C2131,Coffee Machine,4,593.88,Credit Card,Completed
T6254,2022-10-10,C3657,Laptop,10,499.73,Credit Card,Completed
T6262,2020-07-31,C4403,L,673,445.92,Credit Card,Completed
T6268,2024-05-24,C4460,Laptop,454,399.21,PayPal,Completed
T6278,2023-04-04,C3349,Smartphone,2,703.31,Credit Card,Completed
T6299,2020-10-20,C3784,Tablet,265,958.12,Credit Card,Completed
T6307,2025-01-10,C4593,Coff,870,730.21,Credit Card,Completed
T6310,2025-01-24,C3111,Smartphone,436,940.34,PayPal,Completed
T6352,2022-09-09,C4308,Coffee Machine,382,954.42,PayPal,Completed
T6368,2020-03-27,C4063,Laptop,731,780.27,PayPal,Completed
T6401,2023-03-26,C1820,Headphones,725,661.28,Credit Card,Failed
T6407,2021-03-19,C968,Smartphone,910,844.21,PayPal,Completed
T6423,2020-12-17,C1197,Coffee Machine,169,418.14,Credit Card,Completed
T6442,2020-06-17,C3006,Tablet,9,646.86,Credit Card,Failed
T6443,2025-01-30,C092,Laptop,548,573.42,PayPal,Failed
T6444,2021-12-31,C4693,Smartphone,945,335.58,PayPal,Failed
T6450,2024-06-01,C3657,Smartphone,5,140.62,Credit Card,Completed
T6452,2021-05-01,C1070,Cof,6,949.13,Credit Card,Completed
T6470,2023-10-14,C4036,Headphones,774,192.18,PayPal,Pending
T6481,2022-06-07,C359,Smartphone,583,134.7,Credit Card,Completed
T6510,2021-09-24,C1290,Smartphone,812,406.4,Cash,Failed
T6511,2020-01-19,C4116,Laptop,4,326.66,Credit Card,Completed
T6602,2020-06-23,C145,Laptop,5,287.24,Credit Card,Completed
T6646,2022-01-02,C3374,Coffee Mach,4,509.41,PayPal,Completed
T6663,2023-11-24,C3678,Coffee Machine,813,422.39,PayPal,Pending
T6689,2022-09-17,C4303,Headphones,6,400.96,Credit Card,Pending
T6705,2021-03-10,C4436,Tablet,298,643.27,Credit Card,Completed
T6749,2024-03-09,C2171,Tablet,653,499.0,PayPal,Completed
T6788,2021-01-26,C4355,Smartphone,109,251.05,Cash,Failed
T6813,2023-03-24,C2339,Tablet,7,520.01,Credit Card,Completed
T6828,2022-04-10,C1664,Laptop,752,755.5,Credit Card,Completed
T6832,2023-11-09,C4531,Smartphone,6,894.25,Cash,Completed
T6855,2022-07-08,C1928,Smart,8,639.73,Credit Card,Completed
T6871,2024-07-09,C1022,Coffee Machine,537,860.45,PayPal,Pending
T6951,2021-07-11,C3471,Tablet,737,619.32,PayPal,Completed
T6964,2022-07-07,C1945,Headphones,3,969.0,Cash,Pending
T6976,2022-02-20,C3994,Sm,2,906.44,Credit Card,Completed
T6979,2021-07-16,C3430,Smartphone,589,789.63,Credit Card,Failed
T7024,2023-05-23,C1767,Laptop,140,981.08,PayPal,Failed
T7030,2024-12-09,C4300,Tablet,10,937.57,PayPal,Completed
T7048,2021-08-23,C4791,Coffee Machine,405,661.31,PayPal,Completed
T7059,2021-10-12,C2021,Smartphone,9,178.33,Credit Card,Completed
T7071,2022-12-28,C478,Laptop,903,737.03,Cash,Completed
T7139,2021-01-12,C1604,Headphones,360,92.11,Credit Card,Completed
T7155,2024-09-16,C778,Coffee Machine,2,399.94,PayPal,Completed
T7165,2024-06-14,C2250,Tablet,740,821.67,Cash,Completed
T7168,2021-09-07,C3344,Headphones,6,324.18,Credit Card,Failed
T7230,2023-10-02,C2167,Laptop,265,268.04,PayPal,Completed
T7237,2021-01-03,C4714,Coffee Machine,9,239.25,Credit Card,Completed
T7240,2021-11-21,C2596,Laptop,9,396.91,Credit Card,Completed
T7244,2021-06-22,C3184,Headphones,544,765.17,Credit Card,Completed
T7253,2023-06-26,C4760,Tablet,10,141.3,PayPal,Failed
T7266,2023-12-11,C3439,Headphones,299,232.83,Credit Card,Completed
T7268,2023-02-25,C1084,Headphones,588,185.87,PayPal,Completed
T7270,2021-04-23,C4469,Headphones,10,980.0,PayPal,Completed
T7282,2020-05-18,C2316,Headphones,7,548.35,PayPal,Failed
T7287,2022-06-16,C3111,Coffee Machine,280,920.56,PayPal,Completed
T7322,2020-06-27,C4765,Coffee Machine,360,409.18,Credit Card,Failed
T7329,2020-07-06,C1978,Smartphone,785,295.05,Credit Card,Completed
T7408,2024-11-03,C196,Tablet,6,292.35,Cash,Failed
T7428,2021-06-30,C3336,Laptop,428,165.79,Credit Card,Failed
T7431,2021-12-07,C1155,Laptop,5,794.65,Cash,Completed
T7442,2022-04-09,C2444,Laptop,3,916.59,Credit Card,Completed
T7459,2022-10-01,C406,Smartphone,8,203.38,Credit Card,Failed
T7466,2023-11-20,C4651,Headphones,547,311.71,Cash,Completed
